ra,dec,mag,ci
22.107286,-13.869679,4.29,-0.075
22.52509,-32.346073,4.29,0.011
23.63561,43.268073,4.29,-0.083
0.976766,-29.357449,4.3,-0.154
2.469317,8.460054,4.3,-0.053
3.75347,24.467278,4.3,-0.11
3.809963,-37.620155,4.3,-0.038
4.424828,17.92791,4.3,0.049
5.998917,45.936736,4.3,1.701
8.72041,3.398662,4.3,-0.192
10.92689,24.749718,4.3,0.016
11.615814,-0.823749,4.3,0.983
11.828077,-63.788478,4.3,-0.149
12.53451,-16.196007,4.3,0.388
14.338763,-56.386497,4.3,0.082
20.29413,-12.508212,4.3,0.928
8.676953,-59.761003,4.31,-0.117
14.448801,-83.667884,4.31,1.3
15.408181,37.377167,4.31,0.309
16.123424,-20.868764,4.31,0.831
20.638967,-1.105121,4.31,0.949
3.608159,48.192634,4.32,-0.058
4.674031,-19.671493,4.32,1.599
5.536875,18.594234,4.32,2.06
6.256304,29.498076,4.32,1.021
8.772927,-13.54772,4.32,0.9
9.528675,22.967971,4.32,1.541
